city_name,latitude,longitude
Liria,39.632999,-0.60000002
Llerena,38.233002,-6.0170002
Loja (Lawsha),37.167,-4.1500001
Lorca (Lurka),37.667,-1.7
Lucena,37.400002,-4.4829998
Madrid (Madjrit),40.400002,-3.6830001
Mahon,39.882999,4.25
Malaga (Malaka),36.716999,-4.4169998
Manresa,41.733002,1.8329999
Martos,37.716999,-3.967
Mataro,41.533001,2.45
Medina de rio Seco,41.882999,-5.033
Medina del Campo,41.299999,-4.9169998
Merida (Marida),38.917,-6.3330002
montilla,37.583,-4.6329999
Montoro,38.016998,-4.3829999
Morella,40.617001,-0.1
Moron-de-la-Frontera (Maurur),37.132999,-5.4499998
Motril,36.75,-3.517
Murcia (Mursiya),37.983002,-1.117
Ocana,39.932999,-3.517
Olot,42.182999,2.483
Onteniente,38.817001,-0.61699998
Orihuela,38.083,-0.94999999
Osuna,37.233002,-5.1170001
Palencia,42.016998,-4.533
Palma,39.567001,2.6500001
Pamplona (Bambluna),42.817001,-1.633
Plasencia,40.033001,-6.0830002
Priego-de-Cordoba,37.432999,-4.1830001
Puerto-de-Santa-Maria,36.599998,-6.2329998
Requena,39.483002,-1.1
Reus,41.150002,1.117
Ronda (Runda),36.733002,-5.1669998
"Salamanca (Shalamaka, Shalamantika)",40.966999,-5.6500001
San-Fernando,36.466999,-6.1999998
San-Lucar-de-Barrameda,36.783001,-6.3499999
San-Sebastian,43.317001,-1.983
Santander,43.465,-3.8039999
Santiago (Shant Yacub),42.882999,-8.5500002
Segovia (Shakubiya),40.950001,-4.1170001
"Sevilla(Seville, Ishbiliya)",37.376999,-5.987
Talavera,39.950001,-4.8330002
Tarifa,36.013,-5.6059999
Tineo,43.333,-6.4169998
Toledo,39.867001,-4.0170002
Tortosa,40.799999,0.51700002
Ubeda,38.016998,-3.3670001
Utrera,37.186001,-5.7870002
Valencia (Balansiya),39.466999,-0.36700001
Valladolid,41.650002,-4.717
Velez-Malaga (Balish),36.783001,-4.0999999
Velez-Rubio (Balish0,37.650002,-2.0669999
Vich,41.932999,2.25
Villanueva-de-la-Serena,38.966999,-5.8000002
Vinaroz,40.466999,0.48300001
Yecla,38.617001,-1.117
Zamora,41.5,-5.75
"Zaragoza (Sarakusta, Saragossa)",41.632999,-0.88300002
"Goeteborg, (Loedoense, Gothenburg)",57.716999,11.967
Karlskrona,56.167,15.583
Stockholm,59.333,18.049999
Aberdeen,57.150002,-2.1240001
Ashton-upon-Lyne,53.492001,-2.0829999
Bath,51.377998,-2.3659999
birmingham,52.485001,-1.86
Blackburn,53.743,-2.4779999
Bolton,53.571999,-2.4300001
Bradford,53.787998,-1.75
Bristol,51.477001,-2.569
Cambridge,52.205002,0.14399999
Chatham,51.361,0.53500003
Chester,53.192001,-2.891
Colchester,51.891998,0.89999998
Coventry,52.403,-1.508
Deptford,51.479,-0.034000002
Derby,52.915001,-1.472
Dover,51.125,1.309
Dudley,52.512001,-2.096
Dundee,56.48,-3.0309999
Edinburgh,55.949001,-3.161
Exeter,50.722,-3.523
Glasgow,55.862,-4.2449999
Great-Yarmouth,52.605999,1.73
Greenock,55.951,-4.763
Greenwich,51.479,0.0089999996
Halifax,53.726002,-1.8559999
Huddersfield,53.645,-1.781
Hull,53.75,-0.33899999
Inverness,57.48,-4.2270002
Ipswich,52.056,1.158
King's Lynn,52.757999,0.39399999
Leeds,53.806,-1.5369999
Leicester,52.634998,-1.135
Liverpool,53.416,-2.9400001
London,51.516998,-0.105
Macclesfield,53.257999,-2.1270001
Manchester,53.483002,-2.2490001
Newcastle-upon-Tine,54.973999,-1.602
Norwich,52.627998,1.303
Nottingham,52.967999,-1.159
Oldham,53.536999,-2.1129999
Oxford,51.754002,-1.2539999
Paisley,55.841,-4.4200001
Perth,56.396,-3.434
Plymouth,50.388,-4.1459999
Portsmouth,50.808998,-1.0700001
Preston,53.759998,-2.7049999
Reading,51.455002,-0.97100002
Renfrew,55.868,-4.4050002
Rochdale,53.618,-2.1589999
Salford,53.483002,-2.2939999
Sedgley,52.548,-2.125
Sheffield,53.382999,-1.466
Shrewsbury,52.707001,-2.7479999
South-Shields,54.992001,-1.429
St-Andrews,56.338001,-2.7850001
Stockport,53.410999,-2.158
Stoke-on-Trent,53.023998,-2.1860001
Sunderland,54.910999,-1.3839999
Tynemouth,55.019001,-1.4450001
Wakefield,53.68,-1.493
Walsall,52.584,-1.978
Warrington,53.391998,-2.5940001
Wigan,53.543999,-2.6259999
Winchester,51.062,-1.308
Wolverhampton,52.584,-2.125
Worcester,52.196999,-2.2119999
York,53.956001,-1.0930001
Basel,47.567001,7.5999999
Bern,46.917,7.467
"Geneve (Geneva, Genf)",46.200001,6.1669998
Zuerich,47.367001,8.5500002
"Athens (Athen, Atina)",37.983002,23.733
"Saloniki (Thesaloniki, Selanik)",40.632999,22.933001
"Adrianople (Edirne, Hadrianopolis, Adrianopel)",41.667,26.566999
"Constantinople (Istanbul, Byzantium, Konstantinopel)",41.016998,28.966999
"Sinope (Sinop, Sinub)",42.016998,35.150002
"Trapezunt (Trabzon, Trabazon, Tarabazun)",41.0,39.716999
Smyrna (Izmir),38.417,27.15
"Nicea (Isnik, Iznik, Nikaia)",40.432999,29.716999
"Iconum (Konya, Konia)",37.867001,32.516998
"Ceasarea (Kayseri, Kaysariyya)",38.716999,35.5
Tarsus (Tarsos),36.917,34.882999
Adana,37.016998,35.299999
"Antiochia (Antakya, Antioch, Antakiya)",36.233002,36.117001
Tripolis (Tarabalus al Sham),34.432999,35.849998
Bayrut (Beirut),33.872002,35.509998
"Tyrus (Tyre, Sur)",33.271,35.195999
"Sidon (Saida, Sayda)",33.563,35.368999
"Acra (Akka, Acre, Ptolemeis, Akko, Akkon)",32.924,35.073002
"Jerusalem (Aelia Capitolina, Al-Quds, Al-Kuds",31.767,35.233002
"Aleppo (Haleb, Halab, Beroea)",36.200001,37.167
"Latakia (Ladikiyeh, Laodicia)",35.516998,35.783001
"Raqqa (Er-Raqqa, Rakka, Nikephorium)",35.950001,39.016998
"Damascus (Dimaskh, Es-Sham)",33.5,36.299999
Mosul (Al-Mawsil),36.333,43.132999
Baghdad (Bagdad),33.339001,44.394001
Kufa,32.032001,44.393002
Basra (Al-Basra),30.493999,47.819
Wasit,32.382999,45.224998
Alexandria (Iskandariya),31.200001,29.9
"Fustat (Cairo, ~Heliopolis, Al-Kahira)",30.049999,31.25
"Damietta (Doumyat, Dimyat)",31.419001,31.815001
"Tinnis (Tennis, Tennes)",30.978001,31.872999
"Tripoli (Oea, Atrablas, Tarabulus al Gharb)",32.893002,13.18
"Cyrene (Sjahhat, Hadremetum)",32.827999,21.862
"Labda (Homs, Lebda)",32.650002,14.267
"Misoerta (Misurata, Thubactis)",32.377998,15.091
"Barqa (Barka, Al Mardj, El Merdzj)",32.5,20.879999
"Sirta (Surt, Macomades)",31.216999,16.583
"Gabes (Kabes, Kabis, Tacape)",33.882999,10.117
"Sousse (Susa, Hadremetum)",35.826,10.641
Kairouan (Kayrawan),35.674,10.102
Tunis,36.803001,10.18
"Sfax (Sfakes, Safakus, Asfaqus)",34.741001,10.76
"Mahdiya (Thapsus, Mahdie)",35.505001,11.062
"Bone (Bona, Hippo Regius, Al-Annaba)",36.900002,7.7670002
"Bougie (Bejaia, Bidaya, Saldae)",36.75,5.0830002
"Al-Djazair (Algiers, Iconum, Alger)",36.763,3.0510001
"Tlemcen (Tilimsan, Tagrart, Tlensem)",34.877998,-1.3150001
"Tenes (Tanes, Cartennae)",36.511002,1.309
"Fez (Fas, Fez)",34.053001,-4.9829998
"Ceuta (Sabta, Julia Trajecta)",35.889999,-5.3080001
Sijilmasa (Sidjilmasa),31.285,-4.2690001
"Melilla (Malibya, Rusadir)",35.317001,-2.95
Marakesh (Marrakush),31.632999,-8.0
Banja Luka (Banjaluka),44.776001,17.186001
"Belgrade (Singidunum, Belgrad, Belgrado)",44.833,20.5
Bitola (Bitolj),41.033001,21.333
"Ljubljana (Emona, Laibach)",46.055,14.514
"Nis (Naissus, Nish)",43.317001,21.9
"Ohrid (Lynchnidus, Okhri)",41.117001,20.799999
"Panczova (Pancevo, Pancsova)",44.867001,20.65
Prizrend (Prizren),42.215,20.74
Rovinj (Rovigno),45.084,13.636
Sarajevo (Aquae Sulphurae),43.849998,18.382999
"Skopje (Saipi, Uskub)",42.000999,21.434
Sombor,45.773998,19.112
Subotica (Szbadka),46.099998,19.667
Vrsac,45.119999,21.299999
Zagreb,45.799999,16.0
"Durres (Dyrrachium, Durazzo)",41.317001,19.433001
Djirokaster (Ergiri),40.083,20.117001
"Shkoder (Scodra, Ishkodra)",42.068001,19.513
Voskopoje (Moskopolje),40.632999,20.583
"Shumen (Shumnu, Sumen, Kolanovgrad)",43.266998,26.917
Nikopol (Nikbudi),43.700001,24.9
"Plovdiv (Philippolis, Filibe)",42.150002,24.75
Preslav (Viliki Preslav),43.167,26.816999
"Ruse (Sexaginta Prista, Rousse)",43.833,25.950001
Silistra (Durostorum),44.117001,27.267
Sliven,42.667,26.316999
"Sofia (Serdica, Sofya, Triaditsa)",42.682999,23.316999
"Stara Zagora (Augusta Trojana, Buroy)",42.417,25.632999
Tatar Pazardzhik (Tatar Pazarcik),42.200001,24.333
Varna (Odessus),43.216999,27.917
Veliko Turnovo (Tarnovo),43.067001,25.65
"Vidin (Banonia, Bononia)",43.983002,22.867001
Arad (Aradui Nou),46.182999,21.316999
"Braila (Barbosi, Ibrail, Ibraila)",45.266998,27.983
Brasov (Kronstadt),45.632999,25.583
Bukarest (Buekresh),44.432999,26.1
Cimpulung (Camplung),47.5,25.620001
"Cluj (Klausenburg, Napora)",46.766998,23.6
Craiova,44.317001,23.799999
"Iasa (Iasi, Jassy, Iasey)",47.167,27.6
Satu Mare,47.799999,22.882999
Sibiu (Hermannstadt),45.799999,24.15
Suceava (Zambora),47.632999,26.25
"Timisoara (Temeschburg, Temesvas)",45.758999,21.229
Tirgoviste (Targoviste),44.932999,25.450001
"Siwas (Sivas, Sebaste, Sabastea)",39.73,37.02
"Urfa (Urhay, Osrhoene, Orrhoene, Edessa, Sanli, Al-Ruha, Osdroene)",37.169998,38.790001
"(Gazi)Antep (Ayntab, Antaph, Hamtab, Ayintab)",37.07,37.389999
"Marash (Maras, Germanik, Kahraman(marash), Germanikeia)",37.610001,36.939999
"Erzurum (Antisparate, Theodosiopolis, Karin, Karnoi)",39.91,41.290001
"Bidlis (Bitlis, Bagesh, Pagish, Badlis, Cymiza, Balaleisa, Balouos)",38.330002,42.080002
"Manisa (Magnesia, Maghnisa, Magnesia ad Sipylum)",38.599998,27.450001
"Diyarbakr (Diyarbakir Amid, Amida ad Tygrem, Amid)",37.919998,40.23
"Afyon (Afyan, Afyan Kara Hissar, Akroenos, Akroinos, Afyun)",38.830002,30.5
"Ankara (Ancyra, Angora, Enguru, Ankuriyya)",39.919998,32.919998
"Aydin (Aidin, Guzel Hissar, Tralles, Tralleis, Kaisareia, Dia, Seleucia ad Meandr)",37.830002,27.799999
"Malatya (Melitene, Malatiya)",38.360001,38.310001
"Tokat (Hieroceasarea, Osman ad Pontika)",40.330002,36.580002
"Amasya (Amaseia, Amasia)",40.650002,35.830002
"Antalya (Sataleia, Attalea, Attaleia, Adalia, Attalia, Adalya)",36.889999,30.709999
"Arabkir (Arapkir, Eski Arabkir)",39.049999,38.5
"Balikesir (Akira, Palaiokastron, Mysie, Balikesri, Balikeshir, Hadria Metherai)",39.650002,27.879999
"Mardin (Maridin, Marde, Margdis)",37.299999,40.73
"Isparta (Apollina Sozopolis, Sagalassos, Sabarta, Hamidabad)",37.77,30.549999
"Izmit (Kocaeli, Nikomedia, Nicomedia, Izmid)",40.77,29.93
"Ayvalik (Aywalik, Kydonia)",39.299999,26.67
"Adapazari (Ada Pazari, Tarsos)",40.779999,30.379999
"Burdur (Buldur, Purdur, Plydorion)",37.73,30.280001
"Kutahya (Kutahiya, Cotayaeum, Kotiaenon)",39.419998,29.98
"Bursa (Burusa, Prussa)",40.200001,29.08
Kastamonu (Kastamuni),41.369999,33.779999
"Nigde (Nekide, Nakida)",37.970001,34.700001
"Van (Thospia, Bouana Ospa, Wan)",38.490002,43.400002
"Erzincan (Erzindjan, Aringan, Arzandjan)",39.75,39.5
"Ani (anikoyu, Abnicum)",40.529999,43.57
"Ephese (Arsinoe, Aya Soluk, Hagios Theologos, Selcuk)",37.950001,27.379999
Pergamon (Bergama),39.119999,27.18
Eskisehir (Coryleum),39.77,30.52
"Constantine (Cirta, Kustantina, Kusantina)",36.349998,6.5999999
"Oran (Wahran, Portus Divinus)",35.75,-0.63
"Rabat (Ribat al Fath, Sale)",34.0,-6.4499998
Schwaz,47.330002,11.73
Angouleme,45.650002,0.15000001
Boulogne,50.720001,1.62
Issoudin,46.950001,2.0
lorient,47.75,-3.3699999
Moulins,46.57,3.3299999
Niort,46.299999,-0.44999999
Eger (Erlau),47.900002,20.370001
Newry,54.18,-6.3299999
Alcamo,37.98,12.97
Aquila (L'Aquila),42.349998,13.37
Avellino,40.82,14.78
Foggia,41.450001,15.57
Mistretta,37.93,14.37
Naro,37.299999,13.8
Partanna,37.720001,12.9
Partinico,38.049999,13.12
Pesaro,43.900002,12.9
Setubal,38.529999,-8.8999996
Andujar,38.049999,-4.0700002
Elche (Alsh),38.25,-0.68000001
Marchena,37.330002,-5.4000001
Woolwich,51.48,0.079999998
Aden (Adan),12.97,45.029999
Jeddah (Djudha),21.542999,39.173
Medina (Madinah),24.466999,39.599998
"Mecca (Makkah, Meccah)",21.417,39.817001
"Muscat (Masqat, Maskat)",23.610001,58.540001
Mokka (Mukka),13.19,43.150002
Sanaa (Sana'a),15.35,44.200001
Zabid,14.12,43.189999
Taizz (Ta'izz),13.34,44.02
"Nicosia (Lefkosha, Leukosia)",35.169998,33.369999
Hilla (Al-Hilla),32.48,44.23
Meknes (Miknas),33.895,-5.5500002
Kirshehir (Aquae Saravenae),39.150002,34.169998
Kalat Beni Hammad (Beni Hammad),35.813,4.8099999
Luxemburg (Luxembourg),49.599998,6.1500001
Valletta (La Vallette),35.900002,14.52
"Ioannina (Cassiope, Janina, Yanina, Yania, Yannina)",39.669998,20.83
"Iraklion (Candie, Candia, Heraklion, Heracleion, Kandiye)",35.330002,25.15
"Kerkira (Corfu, Corfou, Kerkyra)",39.599998,19.93
"Khios (Chios, Scio)",38.380001,26.120001
"Korinthos (Corinth, Corinthe, Goerdes)",37.93,22.93
"Larisa (Larissa, Ienitcher)",39.630001,22.42
"Patrai (Patras, Baliabadra)",38.25,21.73
"Serrai (Ceres, Seres, Serres, Siris, Siroz, Serrhes)",41.049999,23.549999
"Tripolis (Tripolitsa, Tripolitza)",37.52,22.35
"Zakynthos (Zacynthus, Zante)",37.869999,20.73
Gallipoli (Gelibolu),40.419998,26.68
"Qus (Kus, Apollonos minoris, Apollonis parva)",25.92,32.77
"Bahnesa (al-Bahnasa, Oxyrynchus)",29.549999,30.653
al-Mahalla al-Kubra (al-Mahallah al-Kubra),30.966999,31.167
"Rosetta (Rashid, Bolbitine)",31.4,30.4
"Medina al-Fayyum (Madinat al-Fayyum, al-Faiyum, Crocodilopolis)",29.299999,30.83
Mansura (al-Mansura),31.07,31.68
"Bilbeis (Bilbays, Bilbis, Bulbays, Phelbes)",30.42,31.57
"Damanhur (Hermeopolis parva, Hermeopolis mikra)",31.049999,30.469999
"Menuf (Manuf, Manuf al Ulya, Minuf, Onouphisanou, Onouphis)",30.459999,30.92
Asyut (Isiu),27.18,31.17
"Aswan (Uswan, Syene, Swenet)",24.08,32.900002
"Kina (Kuna, Kaine, Qena, Maximanopolis)",26.17,32.720001
"Qalyub (Qaliub, Kalyub)",30.200001,31.200001
Tanta (Taya),30.780001,31.0
